video_name,duration_s,original_fps,reduced_fps,original_frames,reduced_frames,frames_ohne_pose,n_strokes,stroke_rate_spm,n_peaks
cla-BAD-2,161.2,30.0,10,4834,1613,0,59,22.0,60.0
cla-BAD,50.6,30.0,10,1518,506,0,20,23.7,21.0
cla-GOOD-fast,209.4,30.0,10,6280,2094,0,87,24.9,88.0
cla-GOOD-slow-2,81.7,30.0,10,2451,818,0,33,24.2,34.0
cla-GOOD-slow,190.0,30.0,10,5698,1900,0,68,21.5,69.0
man-GOOD-slow-MIRRORED-7.5min,449.6,25.0,10,11241,4463,0,147,19.6,148.0
mar-GOOD-fast,140.6,30.0,10,4217,1406,0,61,26.0,62.0
mar-GOOD-slow,135.9,30.0,10,4076,1359,0,50,22.1,51.0
sim-GOOD-fast,115.4,30.0,10,3461,1154,0,45,23.4,46.0
sim-GOOD-slow,247.4,30.0,10,7419,2474,0,76,18.4,77.0
sim-GOOD-slow2,35.1,30.0,10,1054,352,0,11,18.8,12.0
