schlag_nr,endzug_start,auslage,endzug_end,vorrolle_frames,antrieb_frames,dauer_s
1,56,91,126,35,35,2.3350227554820027
2,126,164,202,38,38,2.5351675630947454
3,202,245,285,43,40,2.768669838642946
4,285,327,365,42,38,2.6685974348365744
5,365,411,448,46,37,2.768669838642946
6,448,493,530,45,37,2.7353123707074887
7,530,575,610,45,35,2.6685974348365744
8,610,656,691,46,35,2.7019549027720315
9,691,736,774,45,38,2.768669838642946
10,774,813,841,39,28,2.234950351675631
11,841,883,919,42,36,2.60188249896566
12,919,960,999,41,39,2.6685974348365744
13,999,1042,1083,43,41,2.802027306578403
14,1083,1124,1163,41,39,2.6685974348365744
15,1163,1206,1243,43,37,2.6685974348365744
16,1243,1284,1319,41,35,2.5351675630947454
17,1319,1364,1399,45,35,2.6685974348365744
18,1399,1445,1482,46,37,2.768669838642946
19,1482,1525,1562,43,37,2.6685974348365744
20,1562,1608,1647,46,39,2.83538477451386
21,1647,1690,1729,43,39,2.7353123707074887
22,1729,1772,1810,43,38,2.7019549027720315
23,1810,1854,1894,44,40,2.802027306578403
24,1894,1938,1977,44,39,2.768669838642946
25,1977,2020,2058,43,38,2.7019549027720315
26,2058,2104,2143,46,39,2.83538477451386
27,2143,2184,2222,41,38,2.6352399669011173
28,2222,2268,2308,46,40,2.868742242449317
29,2308,2355,2396,47,41,2.935457178320232
30,2396,2442,2481,46,39,2.83538477451386
31,2481,2530,2568,49,38,2.9020997103847748
32,2568,2613,2651,45,38,2.768669838642946
33,2651,2696,2734,45,38,2.768669838642946
34,2734,2774,2816,40,42,2.7353123707074887
35,2816,2851,2893,35,42,2.5685250310302026
36,2893,2936,2972,43,36,2.6352399669011173
37,2972,3016,3053,44,37,2.7019549027720315
38,3053,3096,3136,43,40,2.768669838642946
39,3136,3181,3216,45,35,2.6685974348365744
40,3216,3262,3297,46,35,2.7019549027720315
41,3297,3347,3381,50,34,2.802027306578403
42,3381,3426,3460,45,34,2.6352399669011173
43,3460,3507,3541,47,34,2.7019549027720315
44,3541,3584,3618,43,34,2.5685250310302026
45,3618,3661,3697,43,36,2.6352399669011173
46,3697,3741,3776,44,35,2.6352399669011173
47,3776,3824,3856,48,32,2.6685974348365744
48,3856,3904,3937,48,33,2.7019549027720315
49,3937,3990,4025,53,35,2.935457178320232
50,4025,4071,4107,46,36,2.7353123707074887
51,4107,4152,4190,45,38,2.768669838642946
52,4190,4229,4260,39,31,2.3350227554820027
53,4260,4296,4329,36,33,2.3016652875465455
54,4329,4367,4403,38,36,2.468452627223831
55,4403,4442,4480,39,38,2.5685250310302026
56,4480,4518,4554,38,36,2.468452627223831
57,4554,4593,4630,39,37,2.5351675630947454
58,4630,4669,4706,39,37,2.5351675630947454
59,4706,4746,4781,40,35,2.5018100951592883
