nose_x_norm,nose_y_norm,left_eye_inner_x_norm,left_eye_inner_y_norm,left_eye_x_norm,left_eye_y_norm,left_eye_outer_x_norm,left_eye_outer_y_norm,right_eye_inner_x_norm,right_eye_inner_y_norm,right_eye_x_norm,right_eye_y_norm,right_eye_outer_x_norm,right_eye_outer_y_norm,left_ear_x_norm,left_ear_y_norm,right_ear_x_norm,right_ear_y_norm,mouth_left_x_norm,mouth_left_y_norm,mouth_right_x_norm,mouth_right_y_norm,left_shoulder_x_norm,left_shoulder_y_norm,right_shoulder_x_norm,right_shoulder_y_norm,left_elbow_x_norm,left_elbow_y_norm,right_elbow_x_norm,right_elbow_y_norm,left_wrist_x_norm,left_wrist_y_norm,right_wrist_x_norm,right_wrist_y_norm,left_pinky_x_norm,left_pinky_y_norm,right_pinky_x_norm,right_pinky_y_norm,left_index_x_norm,left_index_y_norm,right_index_x_norm,right_index_y_norm,left_thumb_x_norm,left_thumb_y_norm,right_thumb_x_norm,right_thumb_y_norm,left_hip_x_norm,left_hip_y_norm,right_hip_x_norm,right_hip_y_norm,left_knee_x_norm,left_knee_y_norm,right_knee_x_norm,right_knee_y_norm,left_ankle_x_norm,left_ankle_y_norm,right_ankle_x_norm,right_ankle_y_norm,left_heel_x_norm,left_heel_y_norm,right_heel_x_norm,right_heel_y_norm,left_foot_index_x_norm,left_foot_index_y_norm,right_foot_index_x_norm,right_foot_index_y_norm,phase,GOOD,BAD
-0.33153007000414714,-1.5332424942807144,-0.2874884112153573,-1.6062506505460035,-0.2690967094683625,-1.607710462505295,-0.25082494822623924,-1.608450075010335,-0.3187928829868153,-1.60345461480744,-0.32361894268282987,-1.603680214241603,-0.32812746916594754,-1.6052484054302965,-0.19434187323213056,-1.5554410087323263,-0.276289182960491,-1.5738042709781659,-0.30176701919529525,-1.4390267547040612,-0.3342664446152873,-1.43853184555896,-0.10767781041219515,-1.1181359495708052,-0.32085783807068524,-1.070983503955668,-0.470645970354459,-0.7786352004316904,-0.5977579282172204,-0.7602123388834301,-0.8770621454114014,-0.6110445586748524,-0.8983326665753218,-0.5354406178541334,-0.9564198530845829,-0.5443613474664565,-0.9621722986182234,-0.4912455094091111,-0.962666898638312,-0.5480285593154035,-0.9619137464577221,-0.47246678314639695,-0.9404906411876043,-0.553161518323883,-0.9365886179791202,-0.4788812508069261,-0.09601835683863642,0.015962359791572567,-0.23100756192133903,0.004785388537610272,-0.5880123294213946,-0.4335904796674025,-0.675502621574888,-0.4544489990145892,-0.6557233194715346,0.5398780649708593,-0.724937151682714,0.4380948214368454,-0.6304351623444344,0.758464565448938,-0.688385468298136,0.6027439532242115,-0.8827081282907178,0.5820165028823482,-0.9395202359481905,0.5148923557560433,0,0,1
-0.32232927313044885,-1.539425365481837,-0.2805031751316459,-1.6090435332094388,-0.26298419512009746,-1.6095853675314458,-0.2425784820913019,-1.6097547062133237,-0.3094550819075525,-1.6090041506828392,-0.3132308584609089,-1.6099375845707515,-0.3164709831925094,-1.6112728809749857,-0.17938739432474154,-1.5560720565329567,-0.26118706594710556,-1.5747239178905181,-0.29088754985341625,-1.4430816093187526,-0.32109574068034785,-1.4466048925618538,-0.09069918092259352,-1.1173905873405316,-0.3203978600520028,-1.0614461317682995,-0.42801590002300205,-0.7848829878854497,-0.5995765724910863,-0.7357222188887428,-0.8403483568702392,-0.6200993248926195,-0.8955882547138552,-0.5326949694926165,-0.9357764847461347,-0.556460500457874,-0.9594003128056368,-0.4923090231023066,-0.9439697813789125,-0.5741205651251527,-0.9579911973484043,-0.4775554754530786,-0.9177439862637293,-0.5771372542976781,-0.9320428728444908,-0.4814215165101012,-0.09382554764957358,0.03140649271884931,-0.2347595976737312,0.016171822900080093,-0.5829636997163401,-0.4257565099492191,-0.6800136210581061,-0.45431545700916526,-0.6585076702846234,0.5440725204412208,-0.7344248165680636,0.4384368373507367,-0.6328067694407593,0.768428530153633,-0.7012030278187321,0.608145232743589,-0.9088714801533648,0.5899298559037559,-0.9659671172723532,0.5131936519870489,0,0,1
-0.2999748360225042,-1.5444115519343553,-0.25992336289577916,-1.611090868167593,-0.24401925194982002,-1.610833305207132,-0.2239533291348253,-1.610420685140373,-0.28562030693948265,-1.6133506338343755,-0.2885102548568603,-1.6147040449643453,-0.2908237464508248,-1.6158051482590676,-0.1573942625314716,-1.556155334811339,-0.23593674572154208,-1.5751901402344541,-0.2712556385560493,-1.4459531952103846,-0.2974259148189775,-1.4520104998314072,-0.07306767940647492,-1.1165055006045832,-0.3070720990107656,-1.0609141894466942,-0.40228631237797274,-0.7852089292986881,-0.5995493694899814,-0.733289775989947,-0.814491038770022,-0.6232144394691427,-0.888771306286979,-0.5303087716956991,-0.9076785049049111,-0.5616225172175338,-0.9536312981713233,-0.49360598800498395,-0.9171664170902708,-0.5788995141692539,-0.9464796291808522,-0.48188804797904977,-0.8955206181611081,-0.5803155540267675,-0.9259909469986867,-0.4840279349659631,-0.0764022727419123,0.03281882307621232,-0.22779340369079323,0.015986842492566954,-0.549649173463242,-0.40339218084087264,-0.6747159602429371,-0.4474379200798282,-0.6613738774010369,0.5756356680231851,-0.7343496373650101,0.4628448537420892,-0.6352355028394043,0.8088828549967202,-0.702006010951346,0.6444362619175804,-0.922671315313857,0.5931835821359087,-0.9710717604296827,0.5195040063433495,0,0,1
-0.26957152548764757,-1.5443240077307996,-0.23033119639386787,-1.6104603149669825,-0.213284312101494,-1.6104563581668219,-0.19267334006436165,-1.6100876956768484,-0.2533160012274155,-1.6126823673822333,-0.2559880778359442,-1.6141778523679735,-0.2582545824280002,-1.615451014644684,-0.12713265490237038,-1.5559605860534294,-0.20536255087974487,-1.5751759823088791,-0.23876511593641875,-1.4457455250269498,-0.2664335356601954,-1.451898596576862,-0.04276675107577667,-1.1165052533045732,-0.2903078786298724,-1.0591221299239082,-0.36431487963573034,-0.7852088056486831,-0.5952720685162551,-0.7351007539635015,-0.7724753853135202,-0.6238168622936106,-0.8767991418507193,-0.5340511627476995,-0.8675061020732744,-0.5613626049069772,-0.9420037462990603,-0.5017424056354516,-0.8761498556743479,-0.5779198351794633,-0.9387240535658528,-0.4921263920448889,-0.8445912831425694,-0.5794634818421599,-0.9143470733257607,-0.4938034570630043,-0.05321023049994757,0.032995395283383945,-0.21290124438593538,0.00971803453795393,-0.5208698820943464,-0.3909398834351119,-0.6611799941931622,-0.44779551589435224,-0.6691635804174224,0.5849813827027693,-0.7392152650626318,0.46181534380027484,-0.6472587347277383,0.820302427560536,-0.7063246110267496,0.641670953205265,-0.9305750236348729,0.5928479960222787,-0.975891143025426,0.5073798760509175,0,0,1
-0.24152152184837256,-1.5431898898847365,-0.20350186560417152,-1.6091438751885143,-0.1866102857181055,-1.6090522505347928,-0.16516838564722428,-1.6086253488924538,-0.2265942459420884,-1.6116492097652706,-0.22949927916007884,-1.6130816332484497,-0.23201258916215908,-1.6144206391528346,-0.09835286893345463,-1.5518802595377033,-0.18077103788093943,-1.5742973871981942,-0.21205968245175463,-1.4439205127778254,-0.24066165971344852,-1.450497023769936,-0.01726096993983744,-1.116522069705256,-0.27404147316919836,-1.0589513692669725,-0.3234193715747241,-0.7905605015160468,-0.5890569246638218,-0.738397015797382,-0.7289886677472698,-0.6344841482268715,-0.8694998347542516,-0.5367484639572527,-0.8360277783947553,-0.5647853606959954,-0.9428015361314632,-0.507672907176324,-0.8427850038692057,-0.5783336917462725,-0.9333967167494784,-0.5010698732581361,-0.8113291844916006,-0.581847577588992,-0.90543895601395,-0.5037943774687942,-0.033879283314804526,0.032828220476594,-0.19691775013675203,-0.0032315831880059265,-0.4910437697829332,-0.35968981766586355,-0.6488350249917606,-0.4486155627276592,-0.6640002035077074,0.6163165196754729,-0.7391230221588853,0.4692153020008305,-0.6431985631628309,0.8392186526288347,-0.7089924835351076,0.6516534654107133,-0.9236837615549783,0.6156107254468065,-0.989382595073393,0.5078809058712672,0,0,1
-0.20997222306697066,-1.5430768737801461,-0.16665243300750016,-1.6089656955312774,-0.14668320449643277,-1.6087975933494498,-0.12582641624931637,-1.6082905665038565,-0.1964224082166333,-1.6116101981886861,-0.20112283950754534,-1.613002682720243,-0.20535068047926275,-1.6142257667449196,-0.0677361384899298,-1.550996656601815,-0.16050752235791932,-1.5741348492665925,-0.17852283348962666,-1.4424284899922255,-0.21323262639939475,-1.449252486469388,0.009399702243008679,-1.1165835237577522,-0.2530506483166379,-1.0594070195354792,-0.2977943918339436,-0.8007602667803191,-0.5645544396686323,-0.7575567077255694,-0.6995139687501295,-0.6505423270790883,-0.8447584579493593,-0.5579794171195661,-0.7891686305915306,-0.578314278695484,-0.9144477244298488,-0.5319947395141761,-0.8001042370356898,-0.587061032750741,-0.9108637290342817,-0.52799762945183,-0.7817726291911358,-0.5933002883541537,-0.8810444174731448,-0.5311927455816025,-0.003349107874795205,0.03239272515890598,-0.16936457221765602,-0.020668459596219654,-0.46840172276330694,-0.3244510500346107,-0.6229177366391077,-0.44552418895210033,-0.6603940747612413,0.6426740020460047,-0.7433075856288449,0.47133466308691013,-0.6428080764469709,0.8689851656378271,-0.7214781664422243,0.6504839836632138,-0.9233861359928901,0.6146294390069507,-0.9964210006592639,0.4956526622746066,0,0,1
-0.1819091125271633,-1.54300039625204,-0.1362449183724728,-1.6081188784718832,-0.11677671968175517,-1.6077521325569875,-0.09708421988192736,-1.607056848578748,-0.1692451263128046,-1.6112626798495713,-0.17445004962420704,-1.6126681476316556,-0.17909384921281896,-1.6139081098820178,-0.04162422502937199,-1.5496817624484094,-0.13370885676946848,-1.573056064797777,-0.1524502407306659,-1.441454498902666,-0.1881922638823589,-1.4486756591959598,0.03367021982877662,-1.1159088893303513,-0.22453151655830889,-1.0627588002216146,-0.27279582301860517,-0.8095034349854303,-0.5186899325058059,-0.7933267994284023,-0.6675061757501055,-0.6723799071660403,-0.770693588741151,-0.5912777452220064,-0.7468427392724283,-0.5978444260387177,-0.8421524104435124,-0.5460193703837986,-0.7567199016735977,-0.6082539017115075,-0.8376405454102592,-0.5407180000684788,-0.7286743494345035,-0.6154000064517527,-0.8072047149240817,-0.5506100004702509,0.025092866280400028,0.03151654122331902,-0.1385977306680343,-0.030728376704811836,-0.4443156909850321,-0.30515497215088394,-0.5952963039172394,-0.43836015496112696,-0.6567088100115612,0.6635523053939949,-0.7444008989732508,0.49180467411831724,-0.6404199002499731,0.8894383602685513,-0.724736591374568,0.6579744536674457,-0.9231430400830165,0.6213651493805273,-0.9924392231975405,0.47927967050960346,0,0,1
-0.15367684878048563,-1.542958169775325,-0.10817958213257504,-1.6065683074089054,-0.08936994336860539,-1.6060978809647986,-0.07055684240449513,-1.6052182966540736,-0.14174412869582795,-1.6098929469189385,-0.14716865441614974,-1.611112506918472,-0.1518037985044101,-1.6122985577666444,-0.015551137670391135,-1.5485082002507442,-0.10786600571983887,-1.5710972014182158,-0.1241235083801513,-1.4410912770129136,-0.16010145574142656,-1.4485530602159802,0.061024815839807046,-1.1160064491843138,-0.20119554571049836,-1.0627858795727145,-0.26112969234477523,-0.819890035407291,-0.4861595945845582,-0.8015528633125111,-0.6385184104727425,-0.6936166718785898,-0.730396299404442,-0.6112409148828276,-0.7183930988169216,-0.6103564463969042,-0.8026927262408234,-0.5569950394295847,-0.7294624945665147,-0.6195738123712754,-0.7995745204141749,-0.5550897165021984,-0.6994914644492155,-0.6356683443249687,-0.7688751917672952,-0.5699991868077594,0.05290842951015304,0.027008509340221427,-0.10983006239961071,-0.03718043396686769,-0.41790182421221017,-0.2939389274953346,-0.5713497493446296,-0.4276656660267611,-0.6460749095796562,0.6529780042645106,-0.7470393427804134,0.4966391420146733,-0.6329986742485536,0.8797110616734687,-0.743972575355854,0.6885617554097753,-0.9037228175942474,0.6211321927710656,-0.9899494066964145,0.48263775734599507,0,0,1
-0.12748876691683417,-1.5429185399487153,-0.08176794105984353,-1.6053930141111699,-0.06365024772397784,-1.6045687631776921,-0.04539975428271836,-1.6032438533738798,-0.11667582127765709,-1.6090944151865054,-0.12256848591699274,-1.6102303259576414,-0.12762156702222796,-1.611410565255578,0.007374809760765929,-1.5472846216260474,-0.08330317952219857,-1.5695926281571064,-0.09828931283087325,-1.441061106411688,-0.13509398412572662,-1.4485572024911486,0.08609040295786742,-1.1157755946249375,-0.17712385733280606,-1.062654068667361,-0.24593236482752273,-0.8276397994720543,-0.45905229858357205,-0.8051336438079475,-0.6209413149588336,-0.700198932595934,-0.7013407739243268,-0.6319328776732495,-0.7116870644445503,-0.6137991098367309,-0.7737606034657204,-0.5700287391589597,-0.7200561913844695,-0.6232773773216989,-0.770269469223925,-0.570627452483277,-0.6873349378554677,-0.6422360143417203,-0.7396730173812238,-0.5883222628019669,0.07903864317145413,0.020107849859945213,-0.07832577222003688,-0.04885101604087841,-0.385139766181551,-0.26570641644864695,-0.5419210481493576,-0.4242849512394504,-0.6400150701335307,0.6467880850131017,-0.7468632651732618,0.496095823892606,-0.63057810175024,0.8752910685939468,-0.7481952230273605,0.6856421314911922,-0.8927106717969797,0.6050047699160365,-0.9852560234557888,0.4616303633927617,0,0,1
-0.09985348539440346,-1.5434438051700494,-0.055317721185545114,-1.6045309881011578,-0.038617551507253364,-1.6031873453215846,-0.021256596202123237,-1.6013950384987885,-0.08942434937081514,-1.6086962003453316,-0.09571417782628193,-1.609798292840094,-0.10111768304574993,-1.610915346985464,0.030473125298923872,-1.5458519508428583,-0.057761292584792866,-1.568435140460094,-0.07238636787880287,-1.442073243527797,-0.1081877430329065,-1.450175471931876,0.11473095902112823,-1.116091396737764,-0.1574061329319537,-1.0625440201628913,-0.19854127470269287,-0.8300300777191376,-0.43716946259478184,-0.8052307090618899,-0.5694583988678107,-0.7128601985101822,-0.6912590944148507,-0.6436179267978478,-0.6609386293833589,-0.6231387656660691,-0.7742841375869842,-0.5808609741989202,-0.6705445036735098,-0.6332157464753543,-0.7533160643353479,-0.5845615715492232,-0.6387577968824654,-0.6552182756690059,-0.7355658588144081,-0.6005100728469852,0.1003625811375442,0.010108273953803839,-0.05864860502083182,-0.06915434686551565,-0.377201930459149,-0.253654992359168,-0.5178953575735334,-0.4118869361858944,-0.6347245810186528,0.6489423154005977,-0.7438150452494559,0.4996915660386501,-0.6277457747352027,0.8687880675298219,-0.7448692851922747,0.6868766531413334,-0.869373835399134,0.6031858783421606,-0.9848400648388942,0.461643222993284,0,0,1
