schlag_nr,endzug_start,auslage,endzug_end,vorrolle_frames,antrieb_frames,dauer_s
1,9,17,28,8,11,1.9008135704874836
2,28,42,52,14,10,2.4010276679841898
3,52,66,76,14,10,2.4010276679841898
4,76,89,101,13,12,2.501070487483531
5,101,113,123,12,10,2.2009420289855073
6,123,137,147,14,10,2.4010276679841898
7,147,156,168,9,12,2.100899209486166
8,168,180,191,12,11,2.3009848484848483
9,191,205,216,14,11,2.501070487483531
10,216,229,240,13,11,2.4010276679841898
11,240,254,266,14,12,2.6011133069828722
12,266,280,291,14,11,2.501070487483531
13,291,305,317,14,12,2.6011133069828722
14,317,332,344,15,12,2.7011561264822133
15,344,360,372,16,12,2.8011989459815547
16,372,389,400,17,11,2.8011989459815547
17,400,411,422,11,11,2.2009420289855073
18,422,433,443,11,10,2.100899209486166
19,443,454,464,11,10,2.100899209486166
20,464,476,486,12,10,2.2009420289855073
