schlag_nr,endzug_start,auslage,endzug_end,vorrolle_frames,antrieb_frames,dauer_s
1,13,25,36,12,11,0.7669779723991508
2,36,48,59,12,11,0.7669779723991508
3,59,72,82,13,10,0.7669779723991508
5,105,117,128,12,11,0.7669779723991508
6,128,140,151,12,11,0.7669779723991508
7,151,163,174,12,11,0.7669779723991508
8,174,186,197,12,11,0.7669779723991508
9,197,232,242,35,10,1.500609076433121
10,242,255,288,13,33,1.5339559447983016
11,288,300,311,12,11,0.7669779723991508
12,311,324,335,13,11,0.8003248407643312
13,335,347,358,12,11,0.7669779723991508
14,358,370,381,12,11,0.7669779723991508
15,381,394,405,13,11,0.8003248407643312
16,405,417,428,12,11,0.7669779723991508
17,428,441,452,13,11,0.8003248407643312
18,452,465,476,13,11,0.8003248407643312
19,476,489,501,13,12,0.8336717091295117
20,501,515,526,14,11,0.8336717091295117
21,526,539,551,13,12,0.8336717091295117
22,551,563,575,12,12,0.8003248407643312
23,575,587,599,12,12,0.8003248407643312
24,599,611,623,12,12,0.8003248407643312
25,623,635,647,12,12,0.8003248407643312
26,647,659,671,12,12,0.8003248407643312
27,671,684,696,13,12,0.8336717091295117
28,696,708,719,12,11,0.7669779723991508
29,719,732,743,13,11,0.8003248407643312
30,743,755,766,12,11,0.7669779723991508
31,766,779,790,13,11,0.8003248407643312
32,790,803,814,13,11,0.8003248407643312
33,814,828,839,14,11,0.8336717091295117
34,839,852,864,13,12,0.8336717091295117
35,864,876,888,12,12,0.8003248407643312
36,888,901,913,13,12,0.8336717091295117
37,913,925,937,12,12,0.8003248407643312
38,937,950,962,13,12,0.8336717091295117
39,962,974,985,12,11,0.7669779723991508
40,985,998,1010,13,12,0.8336717091295117
41,1010,1023,1034,13,11,0.8003248407643312
42,1034,1047,1058,13,11,0.8003248407643312
43,1058,1071,1082,13,11,0.8003248407643312
44,1082,1094,1106,12,12,0.8003248407643312
45,1106,1118,1129,12,11,0.7669779723991508
46,1129,1142,1153,13,11,0.8003248407643312
47,1153,1166,1177,13,11,0.8003248407643312
48,1177,1191,1203,14,12,0.8670185774946921
49,1203,1216,1227,13,11,0.8003248407643312
50,1227,1240,1252,13,12,0.8336717091295117
51,1252,1264,1275,12,11,0.7669779723991508
52,1275,1288,1300,13,12,0.8336717091295117
53,1300,1312,1324,12,12,0.8003248407643312
54,1324,1337,1348,13,11,0.8003248407643312
55,1348,1361,1373,13,12,0.8336717091295117
56,1373,1386,1397,13,11,0.8003248407643312
57,1397,1410,1422,13,12,0.8336717091295117
58,1422,1434,1445,12,11,0.7669779723991508
59,1445,1457,1469,12,12,0.8003248407643312
60,1469,1481,1493,12,12,0.8003248407643312
61,1493,1506,1517,13,11,0.8003248407643312
62,1517,1529,1540,12,11,0.7669779723991508
63,1540,1552,1564,12,12,0.8003248407643312
64,1564,1576,1587,12,11,0.7669779723991508
65,1587,1599,1610,12,11,0.7669779723991508
66,1610,1622,1634,12,12,0.8003248407643312
67,1634,1647,1658,13,11,0.8003248407643312
68,1658,1670,1681,12,11,0.7669779723991508
69,1681,1693,1704,12,11,0.7669779723991508
70,1704,1717,1728,13,11,0.8003248407643312
71,1728,1741,1752,13,11,0.8003248407643312
72,1752,1764,1775,12,11,0.7669779723991508
73,1775,1787,1798,12,11,0.7669779723991508
74,1798,1810,1822,12,12,0.8003248407643312
75,1822,1833,1845,11,12,0.7669779723991508
76,1845,1858,1869,13,11,0.8003248407643312
77,1869,1882,1893,13,11,0.8003248407643312
78,1893,1906,1917,13,11,0.8003248407643312
79,1917,1929,1940,12,11,0.7669779723991508
80,1940,1953,1964,13,11,0.8003248407643312
81,1964,1976,1988,12,12,0.8003248407643312
82,1988,2000,2011,12,11,0.7669779723991508
83,2011,2023,2034,12,11,0.7669779723991508
84,2034,2047,2058,13,11,0.8003248407643312
85,2058,2070,2082,12,12,0.8003248407643312
