schlag_nr,endzug_start,auslage,endzug_end,vorrolle_frames,antrieb_frames,dauer_s
1,14,27,38,13,11,0.8003427172582619
2,38,50,61,12,11,0.7669951040391677
3,61,74,85,13,11,0.8003427172582619
4,85,99,110,14,11,0.8336903304773562
5,110,124,135,14,11,0.8336903304773562
6,135,148,160,13,12,0.8336903304773562
7,160,172,184,12,12,0.8003427172582619
8,184,196,207,12,11,0.7669951040391677
9,207,219,230,12,11,0.7669951040391677
10,230,243,254,13,11,0.8003427172582619
11,254,267,278,13,11,0.8003427172582619
12,278,291,302,13,11,0.8003427172582619
13,302,314,325,12,11,0.7669951040391677
14,325,337,348,12,11,0.7669951040391677
15,348,360,372,12,12,0.8003427172582619
16,372,384,396,12,12,0.8003427172582619
17,396,409,420,13,11,0.8003427172582619
18,420,433,445,13,12,0.8336903304773562
19,445,458,469,13,11,0.8003427172582619
20,469,482,493,13,11,0.8003427172582619
21,493,506,518,13,12,0.8336903304773562
22,518,531,542,13,11,0.8003427172582619
23,542,555,566,13,11,0.8003427172582619
24,566,579,591,13,12,0.8336903304773562
25,591,603,615,12,12,0.8003427172582619
26,615,627,639,12,12,0.8003427172582619
27,639,651,663,12,12,0.8003427172582619
28,663,675,686,12,11,0.7669951040391677
29,686,698,709,12,11,0.7669951040391677
30,709,721,732,12,11,0.7669951040391677
31,732,744,756,12,12,0.8003427172582619
32,756,768,779,12,11,0.7669951040391677
33,779,792,803,13,11,0.8003427172582619
