schlag_nr,endzug_start,auslage,endzug_end,vorrolle_frames,antrieb_frames,dauer_s
1,16,28,38,12,10,2.2
2,38,52,62,14,10,2.4
3,62,76,87,14,11,2.5
4,87,102,112,15,10,2.5
5,112,126,138,14,12,2.6
6,138,151,162,13,11,2.4
7,162,177,188,15,11,2.6
8,188,202,213,14,11,2.5
9,213,228,240,15,12,2.7
10,240,255,266,15,11,2.6
11,266,280,292,14,12,2.6
12,292,306,317,14,11,2.5
13,317,331,343,14,12,2.6
14,343,357,368,14,11,2.5
15,368,383,393,15,10,2.5
16,393,409,420,16,11,2.7
17,420,436,447,16,11,2.7
18,447,463,475,16,12,2.8
19,475,493,505,18,12,3.0
20,505,521,533,16,12,2.8
21,533,549,561,16,12,2.8
22,561,576,589,15,13,2.8
23,589,606,618,17,12,2.9
24,618,634,646,16,12,2.8
25,646,663,676,17,13,3.0
26,676,691,705,15,14,2.9
27,705,721,733,16,12,2.8
28,733,750,762,17,12,2.9
29,762,778,791,16,13,2.9
30,791,807,819,16,12,2.8
31,819,836,847,17,11,2.8
32,847,862,874,15,12,2.7
33,874,890,902,16,12,2.8
34,902,917,929,15,12,2.7
35,929,946,958,17,12,2.9
36,958,974,986,16,12,2.8
37,986,1003,1014,17,11,2.8
38,1014,1030,1043,16,13,2.9
39,1043,1059,1072,16,13,2.9
40,1072,1089,1101,17,12,2.9
41,1101,1116,1128,15,12,2.7
42,1128,1144,1156,16,12,2.8
43,1156,1171,1183,15,12,2.7
44,1183,1198,1211,15,13,2.8
45,1211,1227,1240,16,13,2.9
46,1240,1255,1267,15,12,2.7
47,1267,1282,1295,15,13,2.8
48,1295,1310,1322,15,12,2.7
49,1322,1338,1350,16,12,2.8
50,1350,1366,1379,16,13,2.9
51,1379,1395,1408,16,13,2.9
52,1408,1424,1437,16,13,2.9
53,1437,1453,1465,16,12,2.8
54,1465,1481,1494,16,13,2.9
55,1494,1510,1522,16,12,2.8
56,1522,1539,1552,17,13,3.0
57,1552,1568,1580,16,12,2.8
58,1580,1596,1609,16,13,2.9
59,1609,1624,1637,15,13,2.8
60,1637,1652,1665,15,13,2.8
61,1665,1682,1694,17,12,2.9
62,1694,1711,1723,17,12,2.9
63,1723,1740,1752,17,12,2.9
64,1752,1769,1782,17,13,3.0
65,1782,1798,1810,16,12,2.8
66,1810,1827,1840,17,13,3.0
67,1840,1856,1868,16,12,2.8
68,1868,1885,1898,17,13,3.0
