schlag_nr,endzug_start,auslage,endzug_end,vorrolle_frames,antrieb_frames,dauer_s
1,37,60,71,23,11,1.3600196539570384
2,71,92,103,21,11,1.2800184978419185
3,103,121,132,18,11,1.1600167636692387
4,132,150,162,18,12,1.2000173417267985
5,162,180,191,18,11,1.1600167636692387
6,191,208,220,17,12,1.1600167636692387
7,220,238,249,18,11,1.1600167636692387
8,249,267,278,18,11,1.1600167636692387
9,278,297,308,19,11,1.2000173417267985
10,308,327,338,19,11,1.2000173417267985
11,338,357,368,19,11,1.2000173417267985
12,368,388,399,20,11,1.2400179197843584
13,399,417,428,18,11,1.1600167636692387
14,428,447,458,19,11,1.2000173417267985
15,458,477,488,19,11,1.2000173417267985
16,488,507,518,19,11,1.2000173417267985
17,518,537,548,19,11,1.2000173417267985
18,548,567,578,19,11,1.2000173417267985
19,578,597,608,19,11,1.2000173417267985
20,608,626,637,18,11,1.1600167636692387
21,637,656,667,19,11,1.2000173417267985
22,667,686,697,19,11,1.2000173417267985
23,697,715,726,18,11,1.1600167636692387
24,726,746,758,20,12,1.2800184978419185
25,758,777,788,19,11,1.2000173417267985
26,788,807,818,19,11,1.2000173417267985
27,818,838,849,20,11,1.2400179197843584
28,849,869,880,20,11,1.2400179197843584
29,880,899,910,19,11,1.2000173417267985
30,910,929,940,19,11,1.2000173417267985
31,940,960,971,20,11,1.2400179197843584
32,971,991,1002,20,11,1.2400179197843584
33,1002,1022,1033,20,11,1.2400179197843584
34,1033,1052,1063,19,11,1.2000173417267985
35,1063,1081,1093,18,12,1.2000173417267985
36,1093,1111,1122,18,11,1.1600167636692387
37,1122,1142,1153,20,11,1.2400179197843584
38,1153,1172,1184,19,12,1.2400179197843584
39,1184,1202,1213,18,11,1.1600167636692387
40,1213,1232,1243,19,11,1.2000173417267985
41,1243,1261,1272,18,11,1.1600167636692387
42,1272,1291,1302,19,11,1.2000173417267985
43,1302,1321,1332,19,11,1.2000173417267985
44,1332,1352,1363,20,11,1.2400179197843584
45,1363,1382,1394,19,12,1.2400179197843584
46,1394,1412,1424,18,12,1.2000173417267985
47,1424,1441,1452,17,11,1.1200161856116786
48,1452,1471,1482,19,11,1.2000173417267985
49,1482,1501,1512,19,11,1.2000173417267985
50,1512,1530,1542,18,12,1.2000173417267985
51,1542,1560,1572,18,12,1.2000173417267985
52,1572,1590,1601,18,11,1.1600167636692387
53,1601,1619,1631,18,12,1.2000173417267985
54,1631,1649,1660,18,11,1.1600167636692387
55,1660,1679,1690,19,11,1.2000173417267985
56,1690,1708,1719,18,11,1.1600167636692387
57,1719,1738,1749,19,11,1.2000173417267985
58,1749,1767,1779,18,12,1.2000173417267985
59,1779,1797,1808,18,11,1.1600167636692387
60,1808,1826,1838,18,12,1.2000173417267985
61,1838,1857,1868,19,11,1.2000173417267985
62,1868,1887,1898,19,11,1.2000173417267985
63,1898,1916,1927,18,11,1.1600167636692387
64,1927,1945,1957,18,12,1.2000173417267985
65,1957,1976,1987,19,11,1.2000173417267985
66,1987,2006,2017,19,11,1.2000173417267985
67,2017,2037,2048,20,11,1.2400179197843584
68,2048,2068,2079,20,11,1.2400179197843584
69,2079,2098,2109,19,11,1.2000173417267985
70,2109,2129,2140,20,11,1.2400179197843584
71,2140,2160,2172,20,12,1.2800184978419185
72,2172,2190,2202,18,12,1.2000173417267985
73,2202,2221,2232,19,11,1.2000173417267985
74,2232,2251,2262,19,11,1.2000173417267985
75,2262,2282,2293,20,11,1.2400179197843584
76,2293,2312,2324,19,12,1.2400179197843584
77,2324,2342,2353,18,11,1.1600167636692387
78,2353,2372,2384,19,12,1.2400179197843584
79,2384,2402,2413,18,11,1.1600167636692387
80,2413,2432,2443,19,11,1.2000173417267985
81,2443,2463,2474,20,11,1.2400179197843584
82,2474,2493,2504,19,11,1.2000173417267985
83,2504,2523,2535,19,12,1.2400179197843584
84,2535,2553,2564,18,11,1.1600167636692387
85,2564,2583,2594,19,11,1.2000173417267985
86,2594,2613,2624,19,11,1.2000173417267985
87,2624,2643,2654,19,11,1.2000173417267985
88,2654,2673,2684,19,11,1.2000173417267985
89,2684,2702,2714,18,12,1.2000173417267985
90,2714,2733,2744,19,11,1.2000173417267985
91,2744,2763,2774,19,11,1.2000173417267985
92,2774,2793,2804,19,11,1.2000173417267985
93,2804,2823,2834,19,11,1.2000173417267985
94,2834,2852,2863,18,11,1.1600167636692387
95,2863,2882,2893,19,11,1.2000173417267985
96,2893,2912,2923,19,11,1.2000173417267985
97,2923,2941,2953,18,12,1.2000173417267985
98,2953,2971,2982,18,11,1.1600167636692387
99,2982,3000,3012,18,12,1.2000173417267985
100,3012,3030,3041,18,11,1.1600167636692387
101,3041,3061,3073,20,12,1.2800184978419185
102,3073,3091,3102,18,11,1.1600167636692387
103,3102,3121,3132,19,11,1.2000173417267985
104,3132,3150,3161,18,11,1.1600167636692387
105,3161,3180,3192,19,12,1.2400179197843584
106,3192,3210,3222,18,12,1.2000173417267985
107,3222,3240,3252,18,12,1.2000173417267985
108,3252,3271,3282,19,11,1.2000173417267985
109,3282,3302,3313,20,11,1.2400179197843584
110,3313,3332,3343,19,11,1.2000173417267985
111,3343,3361,3372,18,11,1.1600167636692387
112,3372,3390,3402,18,12,1.2000173417267985
113,3402,3421,3432,19,11,1.2000173417267985
114,3432,3451,3462,19,11,1.2000173417267985
115,3462,3482,3494,20,12,1.2800184978419185
116,3494,3512,3523,18,11,1.1600167636692387
117,3523,3542,3553,19,11,1.2000173417267985
118,3553,3571,3582,18,11,1.1600167636692387
119,3582,3602,3613,20,11,1.2400179197843584
120,3613,3632,3644,19,12,1.2400179197843584
121,3644,3663,3674,19,11,1.2000173417267985
122,3674,3693,3704,19,11,1.2000173417267985
123,3704,3723,3734,19,11,1.2000173417267985
124,3734,3752,3763,18,11,1.1600167636692387
125,3763,3781,3792,18,11,1.1600167636692387
126,3792,3810,3821,18,11,1.1600167636692387
127,3821,3839,3851,18,12,1.2000173417267985
128,3851,3869,3880,18,11,1.1600167636692387
129,3880,3898,3909,18,11,1.1600167636692387
130,3909,3927,3938,18,11,1.1600167636692387
131,3938,3956,3967,18,11,1.1600167636692387
132,3967,3986,3997,19,11,1.2000173417267985
133,3997,4015,4026,18,11,1.1600167636692387
134,4026,4043,4054,17,11,1.1200161856116786
135,4054,4071,4082,17,11,1.1200161856116786
136,4082,4101,4113,19,12,1.2400179197843584
137,4113,4133,4145,20,12,1.2800184978419185
138,4145,4165,4176,20,11,1.2400179197843584
139,4176,4195,4207,19,12,1.2400179197843584
140,4207,4224,4235,17,11,1.1200161856116786
141,4235,4255,4266,20,11,1.2400179197843584
142,4266,4285,4297,19,12,1.2400179197843584
143,4297,4316,4327,19,11,1.2000173417267985
144,4327,4346,4357,19,11,1.2000173417267985
145,4357,4376,4388,19,12,1.2400179197843584
146,4388,4406,4418,18,12,1.2000173417267985
147,4418,4438,4450,20,12,1.2800184978419185
148,4450,4471,4482,21,11,1.2800184978419185
149,4482,4502,4514,20,12,1.2800184978419185
150,4514,4532,4543,18,11,1.1600167636692387
151,4543,4562,4573,19,11,1.2000173417267985
152,4573,4592,4603,19,11,1.2000173417267985
153,4603,4624,4635,21,11,1.2800184978419185
154,4635,4656,4667,21,11,1.2800184978419185
155,4667,4687,4699,20,12,1.2800184978419185
156,4699,4716,4728,17,12,1.1600167636692387
157,4728,4741,4753,13,12,1.0000144514389988
158,4753,4766,4777,13,11,0.9600138733814388
159,4777,4794,4806,17,12,1.1600167636692387
160,4806,4824,4835,18,11,1.1600167636692387
161,4835,4853,4866,18,13,1.2400179197843584
162,4866,4884,4897,18,13,1.2400179197843584
163,4897,4917,4929,20,12,1.2800184978419185
164,4929,4949,4960,20,11,1.2400179197843584
165,4960,4981,4993,21,12,1.3200190758994783
166,4993,5013,5024,20,11,1.2400179197843584
167,5024,5044,5055,20,11,1.2400179197843584
168,5055,5075,5086,20,11,1.2400179197843584
169,5086,5106,5117,20,11,1.2400179197843584
170,5117,5136,5147,19,11,1.2000173417267985
171,5147,5167,5178,20,11,1.2400179197843584
172,5178,5197,5209,19,12,1.2400179197843584
173,5209,5229,5240,20,11,1.2400179197843584
174,5240,5259,5270,19,11,1.2000173417267985
175,5270,5290,5301,20,11,1.2400179197843584
176,5301,5320,5332,19,12,1.2400179197843584
177,5332,5350,5362,18,12,1.2000173417267985
178,5362,5380,5391,18,11,1.1600167636692387
179,5391,5409,5420,18,11,1.1600167636692387
180,5420,5438,5450,18,12,1.2000173417267985
181,5450,5467,5479,17,12,1.1600167636692387
182,5479,5496,5507,17,11,1.1200161856116786
183,5507,5526,5538,19,12,1.2400179197843584
184,5538,5556,5568,18,12,1.2000173417267985
185,5568,5586,5596,18,10,1.1200161856116786
186,5596,5615,5626,19,11,1.2000173417267985
187,5626,5645,5656,19,11,1.2000173417267985
188,5656,5675,5686,19,11,1.2000173417267985
189,5686,5704,5716,18,12,1.2000173417267985
190,5716,5734,5745,18,11,1.1600167636692387
191,5745,5764,5775,19,11,1.2000173417267985
192,5775,5794,5805,19,11,1.2000173417267985
193,5805,5823,5835,18,12,1.2000173417267985
194,5835,5853,5865,18,12,1.2000173417267985
195,5865,5883,5895,18,12,1.2000173417267985
196,5895,5913,5924,18,11,1.1600167636692387
197,5924,5943,5954,19,11,1.2000173417267985
198,5954,5972,5983,18,11,1.1600167636692387
199,5983,6001,6013,18,12,1.2000173417267985
200,6013,6031,6043,18,12,1.2000173417267985
201,6043,6061,6073,18,12,1.2000173417267985
202,6073,6091,6103,18,12,1.2000173417267985
203,6103,6122,6133,19,11,1.2000173417267985
204,6133,6151,6163,18,12,1.2000173417267985
205,6163,6180,6191,17,11,1.1200161856116786
206,6191,6209,6220,18,11,1.1600167636692387
207,6220,6238,6249,18,11,1.1600167636692387
208,6249,6266,6276,17,10,1.0800156075541187
209,6276,6293,6304,17,11,1.1200161856116786
210,6304,6324,6335,20,11,1.2400179197843584
211,6335,6353,6365,18,12,1.2000173417267985
212,6365,6388,6400,23,12,1.4000202320145982
213,6400,6420,6432,20,12,1.2800184978419185
214,6432,6452,6464,20,12,1.2800184978419185
215,6464,6482,6494,18,12,1.2000173417267985
216,6494,6513,6524,19,11,1.2000173417267985
217,6524,6543,6554,19,11,1.2000173417267985
218,6554,6572,6584,18,12,1.2000173417267985
219,6584,6601,6612,17,11,1.1200161856116786
220,6612,6629,6641,17,12,1.1600167636692387
221,6641,6657,6669,16,12,1.1200161856116786
222,6669,6685,6697,16,12,1.1200161856116786
223,6697,6716,6728,19,12,1.2400179197843584
224,6728,6746,6758,18,12,1.2000173417267985
225,6758,6776,6788,18,12,1.2000173417267985
226,6788,6807,6818,19,11,1.2000173417267985
227,6818,6836,6848,18,12,1.2000173417267985
228,6848,6867,6879,19,12,1.2400179197843584
229,6879,6899,6911,20,12,1.2800184978419185
230,6911,6931,6942,20,11,1.2400179197843584
231,6942,6962,6974,20,12,1.2800184978419185
232,6974,6993,7005,19,12,1.2400179197843584
233,7005,7024,7036,19,12,1.2400179197843584
234,7036,7055,7066,19,11,1.2000173417267985
235,7066,7086,7097,20,11,1.2400179197843584
236,7097,7116,7128,19,12,1.2400179197843584
237,7128,7148,7160,20,12,1.2800184978419185
238,7160,7178,7190,18,12,1.2000173417267985
239,7190,7206,7219,16,13,1.1600167636692387
