schlag_nr,endzug_start,auslage,endzug_end,vorrolle_frames,antrieb_frames,dauer_s
1,37,59,71,22,12,1.3599992910995462
2,71,92,103,21,11,1.279999332799573
3,103,121,132,18,11,1.159999395349613
4,132,150,161,18,11,1.159999395349613
5,161,180,191,19,11,1.1999993744995996
6,191,208,219,17,11,1.1199994161996263
7,219,238,249,19,11,1.1999993744995996
8,249,267,278,18,11,1.159999395349613
9,278,297,308,19,11,1.1999993744995996
10,308,327,338,19,11,1.1999993744995996
11,338,357,368,19,11,1.1999993744995996
12,368,387,399,19,12,1.2399993536495864
13,399,417,428,18,11,1.159999395349613
14,428,447,458,19,11,1.1999993744995996
15,458,477,488,19,11,1.1999993744995996
16,488,507,518,19,11,1.1999993744995996
17,518,537,548,19,11,1.1999993744995996
18,548,567,578,19,11,1.1999993744995996
19,578,596,608,18,12,1.1999993744995996
20,608,626,637,18,11,1.159999395349613
21,637,656,667,19,11,1.1999993744995996
22,667,685,697,18,12,1.1999993744995996
23,697,715,726,18,11,1.159999395349613
24,726,746,757,20,11,1.2399993536495864
25,757,777,788,20,11,1.2399993536495864
26,788,807,818,19,11,1.1999993744995996
27,818,837,849,19,12,1.2399993536495864
28,849,868,880,19,12,1.2399993536495864
29,880,899,910,19,11,1.1999993744995996
30,910,929,940,19,11,1.1999993744995996
31,940,960,971,20,11,1.2399993536495864
32,971,991,1002,20,11,1.2399993536495864
33,1002,1021,1033,19,12,1.2399993536495864
34,1033,1052,1063,19,11,1.1999993744995996
35,1063,1081,1093,18,12,1.1999993744995996
36,1093,1111,1122,18,11,1.159999395349613
37,1122,1142,1153,20,11,1.2399993536495864
38,1153,1172,1183,19,11,1.1999993744995996
39,1183,1202,1213,19,11,1.1999993744995996
40,1213,1231,1243,18,12,1.1999993744995996
41,1243,1261,1272,18,11,1.159999395349613
42,1272,1290,1301,18,11,1.159999395349613
43,1301,1320,1332,19,12,1.2399993536495864
44,1332,1352,1363,20,11,1.2399993536495864
45,1363,1382,1393,19,11,1.1999993744995996
46,1393,1412,1423,19,11,1.1999993744995996
47,1423,1441,1452,18,11,1.159999395349613
48,1452,1470,1482,18,12,1.1999993744995996
49,1482,1500,1512,18,12,1.1999993744995996
50,1512,1530,1541,18,11,1.159999395349613
51,1541,1560,1572,19,12,1.2399993536495864
52,1572,1590,1601,18,11,1.159999395349613
53,1601,1619,1631,18,12,1.1999993744995996
54,1631,1649,1660,18,11,1.159999395349613
55,1660,1678,1690,18,12,1.1999993744995996
56,1690,1708,1719,18,11,1.159999395349613
57,1719,1737,1749,18,12,1.1999993744995996
58,1749,1767,1779,18,12,1.1999993744995996
59,1779,1797,1808,18,11,1.159999395349613
60,1808,1826,1837,18,11,1.159999395349613
61,1837,1856,1868,19,12,1.2399993536495864
62,1868,1886,1898,18,12,1.1999993744995996
63,1898,1916,1927,18,11,1.159999395349613
64,1927,1945,1957,18,12,1.1999993744995996
65,1957,1976,1987,19,11,1.1999993744995996
66,1987,2006,2017,19,11,1.1999993744995996
67,2017,2037,2049,20,12,1.279999332799573
68,2049,2067,2079,18,12,1.1999993744995996
69,2079,2098,2109,19,11,1.1999993744995996
70,2109,2129,2140,20,11,1.2399993536495864
71,2140,2160,2171,20,11,1.2399993536495864
72,2171,2190,2202,19,12,1.2399993536495864
