schlag_nr,endzug_start,auslage,endzug_end,vorrolle_frames,antrieb_frames,dauer_s
1,15,29,41,14,12,0.8670674254999604
2,41,55,66,14,11,0.8337186783653465
3,66,78,89,12,11,0.7670211840961189
4,89,102,113,13,11,0.8003699312307327
5,113,126,138,13,12,0.8337186783653465
6,138,150,162,12,12,0.8003699312307327
8,186,220,253,34,33,2.2343660580191287
9,253,286,297,33,11,1.46734487392301
10,297,330,363,33,33,2.201017310884515
11,363,396,407,33,11,1.46734487392301
12,407,440,450,33,10,1.433996126788396
13,450,483,494,33,11,1.46734487392301
14,494,506,538,12,32,1.46734487392301
15,538,549,604,11,55,2.201017310884515
16,604,659,670,55,11,2.201017310884515
18,693,704,738,11,34,1.5006936210576238
19,738,771,783,33,12,1.5006936210576238
20,783,816,827,33,11,1.46734487392301
21,827,861,872,34,11,1.5006936210576238
22,872,884,895,12,11,0.7670211840961189
23,895,928,939,33,11,1.46734487392301
24,939,973,984,34,11,1.5006936210576238
25,984,1017,1028,33,11,1.46734487392301
27,1051,1062,1074,11,12,0.7670211840961189
28,1074,1085,1097,11,12,0.7670211840961189
29,1097,1109,1121,12,12,0.8003699312307327
30,1121,1133,1145,12,12,0.8003699312307327
32,1168,1179,1235,11,56,2.2343660580191287
33,1235,1246,1280,11,34,1.5006936210576238
35,1303,1314,1326,11,12,0.7670211840961189
36,1326,1338,1349,12,11,0.7670211840961189
37,1349,1361,1372,12,11,0.7670211840961189
38,1372,1384,1395,12,11,0.7670211840961189
