schlag_nr,endzug_start,auslage,endzug_end,vorrolle_frames,antrieb_frames,dauer_s
1,24,70,107,46,37,2.7679563297350347
2,107,153,190,46,37,2.7679563297350347
3,190,236,274,46,38,2.8013052011776254
4,274,320,356,46,36,2.7346074582924436
5,356,401,438,45,37,2.7346074582924436
6,438,485,521,47,36,2.7679563297350347
7,521,568,603,47,35,2.7346074582924436
8,603,650,685,47,35,2.7346074582924436
9,685,732,767,47,35,2.7346074582924436
10,767,816,851,49,35,2.8013052011776254
11,851,896,932,45,36,2.701258586849853
12,932,977,1012,45,35,2.667909715407262
13,1012,1057,1093,45,36,2.701258586849853
14,1093,1140,1175,47,35,2.7346074582924436
15,1175,1221,1257,46,36,2.7346074582924436
16,1257,1302,1339,45,37,2.7346074582924436
17,1339,1383,1418,44,35,2.6345608439646715
18,1418,1461,1497,43,36,2.6345608439646715
19,1497,1542,1578,45,36,2.701258586849853
20,1578,1624,1658,46,34,2.667909715407262
21,1658,1705,1740,47,35,2.7346074582924436
22,1740,1787,1822,47,35,2.7346074582924436
23,1822,1867,1903,45,36,2.701258586849853
24,1903,1948,1982,45,34,2.6345608439646715
25,1982,2029,2063,47,34,2.701258586849853
26,2063,2107,2143,44,36,2.667909715407262
27,2143,2189,2224,46,35,2.701258586849853
28,2224,2271,2305,47,34,2.701258586849853
29,2305,2351,2386,46,35,2.701258586849853
30,2386,2431,2466,45,35,2.667909715407262
31,2466,2512,2548,46,36,2.7346074582924436
32,2548,2593,2628,45,35,2.667909715407262
33,2628,2673,2708,45,35,2.667909715407262
34,2708,2751,2788,43,37,2.667909715407262
35,2788,2830,2866,42,36,2.601211972522081
36,2866,2910,2947,44,37,2.701258586849853
37,2947,2993,3029,46,36,2.7346074582924436
38,3029,3073,3110,44,37,2.701258586849853
39,3110,3154,3190,44,36,2.667909715407262
40,3190,3234,3269,44,35,2.6345608439646715
41,3269,3313,3350,44,37,2.701258586849853
42,3350,3393,3429,43,36,2.6345608439646715
43,3429,3475,3510,46,35,2.701258586849853
44,3510,3553,3588,43,35,2.601211972522081
45,3588,3633,3667,45,34,2.6345608439646715
46,3667,3710,3745,43,35,2.601211972522081
47,3745,3788,3823,43,35,2.601211972522081
48,3823,3865,3899,42,34,2.534514229636899
49,3899,3940,3973,41,33,2.4678164867517176
50,3973,4015,4050,42,35,2.5678631010794897
