schlag_nr,endzug_start,auslage,endzug_end,vorrolle_frames,antrieb_frames,dauer_s
1,1,14,24,13,10,2.3003986135181975
2,24,37,47,13,10,2.3003986135181975
3,47,60,70,13,10,2.3003986135181975
4,70,84,94,14,10,2.400415944540728
5,94,107,117,13,10,2.3003986135181975
6,117,131,141,14,10,2.400415944540728
7,141,154,164,13,10,2.3003986135181975
8,164,177,187,13,10,2.3003986135181975
9,187,200,210,13,10,2.3003986135181975
10,210,223,233,13,10,2.3003986135181975
11,233,245,255,12,10,2.2003812824956674
12,255,268,278,13,10,2.3003986135181975
13,278,291,301,13,10,2.3003986135181975
14,301,313,323,12,10,2.2003812824956674
15,323,336,345,13,9,2.2003812824956674
16,345,358,368,13,10,2.3003986135181975
17,368,381,390,13,9,2.2003812824956674
18,390,403,413,13,10,2.3003986135181975
19,413,425,435,12,10,2.2003812824956674
20,435,448,458,13,10,2.3003986135181975
21,458,470,480,12,10,2.2003812824956674
22,480,493,503,13,10,2.3003986135181975
23,503,516,526,13,10,2.3003986135181975
24,526,538,548,12,10,2.2003812824956674
25,548,561,570,13,9,2.2003812824956674
26,570,583,592,13,9,2.2003812824956674
27,592,604,614,12,10,2.2003812824956674
28,614,627,636,13,9,2.2003812824956674
29,636,648,658,12,10,2.2003812824956674
30,658,670,682,12,12,2.400415944540728
31,682,698,711,16,13,2.9005025996533798
32,711,729,742,18,13,3.1005372616984403
33,742,759,772,17,13,3.00051993067591
34,772,789,802,17,13,3.00051993067591
35,802,819,832,17,13,3.00051993067591
36,832,849,861,17,12,2.9005025996533798
37,861,879,891,18,12,3.00051993067591
38,891,910,923,19,13,3.2005545927209704
39,923,939,953,16,14,3.00051993067591
40,953,970,984,17,14,3.1005372616984403
41,984,1001,1014,17,13,3.00051993067591
42,1014,1031,1044,17,13,3.00051993067591
43,1044,1065,1077,21,12,3.300571923743501
44,1077,1098,1111,21,13,3.4005892547660315
45,1111,1129,1143,18,14,3.2005545927209704
