schlag_nr,endzug_start,auslage,endzug_end,vorrolle_frames,antrieb_frames,dauer_s
1,27,46,58,19,12,3.100167070870385
2,58,76,88,18,12,3.0001616814874694
3,88,107,118,19,11,3.0001616814874694
4,118,136,148,18,12,3.0001616814874694
5,148,166,178,18,12,3.0001616814874694
6,178,196,208,18,12,3.0001616814874694
7,208,225,237,17,12,2.900156292104554
8,237,255,267,18,12,3.0001616814874694
9,267,286,297,19,11,3.0001616814874694
10,297,317,328,20,11,3.100167070870385
11,328,348,360,20,12,3.200172460253301
12,360,380,392,20,12,3.200172460253301
13,392,412,424,20,12,3.200172460253301
14,424,445,456,21,11,3.200172460253301
15,456,477,488,21,11,3.200172460253301
16,488,509,520,21,11,3.200172460253301
17,520,540,552,20,12,3.200172460253301
18,552,572,584,20,12,3.200172460253301
19,584,605,617,21,12,3.3001778496362166
20,617,637,649,20,12,3.200172460253301
21,649,669,680,20,11,3.100167070870385
22,680,701,713,21,12,3.3001778496362166
23,713,732,744,19,12,3.100167070870385
24,744,765,776,21,11,3.200172460253301
25,776,797,809,21,12,3.3001778496362166
26,809,829,841,20,12,3.200172460253301
27,841,861,873,20,12,3.200172460253301
28,873,894,905,21,11,3.200172460253301
29,905,926,938,21,12,3.3001778496362166
30,938,958,970,20,12,3.200172460253301
31,970,990,1001,20,11,3.100167070870385
32,1001,1022,1033,21,11,3.200172460253301
33,1033,1054,1065,21,11,3.200172460253301
34,1065,1085,1097,20,12,3.200172460253301
35,1097,1117,1129,20,12,3.200172460253301
36,1129,1148,1159,19,11,3.0001616814874694
37,1159,1180,1192,21,12,3.3001778496362166
38,1192,1211,1223,19,12,3.100167070870385
39,1223,1243,1255,20,12,3.200172460253301
40,1255,1275,1287,20,12,3.200172460253301
41,1287,1307,1319,20,12,3.200172460253301
42,1319,1339,1351,20,12,3.200172460253301
43,1351,1370,1382,19,12,3.100167070870385
44,1382,1402,1414,20,12,3.200172460253301
45,1414,1434,1446,20,12,3.200172460253301
46,1446,1466,1478,20,12,3.200172460253301
47,1478,1499,1510,21,11,3.200172460253301
48,1510,1531,1543,21,12,3.3001778496362166
49,1543,1562,1574,19,12,3.100167070870385
50,1574,1594,1605,20,11,3.100167070870385
51,1605,1626,1637,21,11,3.200172460253301
52,1637,1657,1669,20,12,3.200172460253301
53,1669,1689,1701,20,12,3.200172460253301
54,1701,1722,1734,21,12,3.3001778496362166
55,1734,1754,1766,20,12,3.200172460253301
56,1766,1787,1799,21,12,3.3001778496362166
57,1799,1820,1832,21,12,3.3001778496362166
58,1832,1851,1863,19,12,3.100167070870385
59,1863,1884,1896,21,12,3.3001778496362166
60,1896,1916,1929,20,13,3.3001778496362166
61,1929,1949,1961,20,12,3.200172460253301
62,1961,1981,1993,20,12,3.200172460253301
63,1993,2013,2026,20,13,3.3001778496362166
64,2026,2045,2057,19,12,3.100167070870385
65,2057,2078,2090,21,12,3.3001778496362166
66,2090,2110,2123,20,13,3.3001778496362166
67,2123,2143,2155,20,12,3.200172460253301
68,2155,2175,2187,20,12,3.200172460253301
69,2187,2207,2219,20,12,3.200172460253301
70,2219,2239,2251,20,12,3.200172460253301
71,2251,2271,2283,20,12,3.200172460253301
72,2283,2303,2315,20,12,3.200172460253301
73,2315,2335,2347,20,12,3.200172460253301
74,2347,2367,2379,20,12,3.200172460253301
75,2379,2398,2410,19,12,3.100167070870385
76,2410,2430,2441,20,11,3.100167070870385
