schlag_nr,endzug_start,auslage,endzug_end,vorrolle_frames,antrieb_frames,dauer_s
1,16,33,45,17,12,0.9671252371916508
2,45,62,74,17,12,0.9671252371916508
3,74,91,103,17,12,0.9671252371916508
4,103,119,132,16,13,0.9671252371916508
5,132,150,162,18,12,1.0004743833017078
6,162,179,191,17,12,0.9671252371916508
7,191,208,220,17,12,0.9671252371916508
8,220,237,250,17,13,1.0004743833017078
9,250,267,280,17,13,1.0004743833017078
10,280,297,310,17,13,1.0004743833017078
11,310,328,341,18,13,1.0338235294117646
